2.0,1.0,15000.0,700.0
7.8,1.86,8040000.0,1800.0
2.75,0.97,13.2406,600.8
2.49,1.39,2.994325,1593.4
0.917,1.44,2.828042,1318.7
1.308,0.885,4.03519,1166.5
7.6,1.09,1.51214,1781.4
0.53,1.17,5.35227,1085.5
2.45,1.02,3.768125,1486.4
3.47,1.31,1.9000693,1396.0
1.11,1.45,3.89713,1515.3
1.03,1.49,1.5089557,1898.0
4.3,0.84,9.24285,1002.0
2.26,1.3,2.72474,1867.0
0.0383853003178,0.435365216104,9.75598,885.0
2.8,1.05,3.6314,1508.9
0.088,0.44,11.759,850.0
10.39,1.007,3.57532,1500.0
3.31,1.465,1.7429964,1392.7
1.1,1.68,3.22748,1747.0
0.68,1.41,5.616531,1567.0
21.66,1.01,4.2568,1554.7
0.72,1.19,9.20205,975.6
0.467,1.388,4.0378962,1316.3
2.96,1.166,8.886593,929.2
0.01283,0.15,0.85359163,1756.0
0.22,0.57,6.21229,783.1
0.84,1.05,95.2738,376.6
0.15,0.57,6.71837,938.0
0.00705,0.116,0.877214,1874.0
0.0189,0.207,23.228555,658.0
0.00669,0.112,15.28078,756.0
0.0043,0.098,0.728113,932.0
0.26,0.774,12.4551225,650.0
3.0,1.051,6.180235,1401.0
13.0,1.11,3650.0,183.0
0.02753,0.174,3.5951,1616.0
0.04616,0.327,15.624,990.0
0.03203,0.352,35.747,752.0
0.00522,0.101,1.628931,529.0
0.00658,0.106,0.5182349,1089.0
0.07142,0.233,35.61253,422.0
0.01164,0.08,7.78993,701.0
0.01051,0.19,2.8531054,692.0
0.00585,0.113,1.1980035,773.0
0.00579,0.109,3.93072,525.0
0.00381,0.1026,2.6162745,569.0
0.00846,0.129,12.946,370.1
0.00887,0.11643,1.467119,700.0
0.01636,0.19,140.43,202.0
0.04292,0.336,19.466,401.0
0.211,0.959,3.2130598,875.4
0.85,1.28,2.916243,1504.3
2.2,1.2,4.627657,1445.9
1.946,1.072,10.863502,819.9
4.193,1.19,2.7759712,1567.0
0.534,1.01,10.338523,707.1
0.196,0.947,5.507978,841.0
0.292,1.109,4.0087844,1010.0
0.524,1.217,4.4652934,1182.1
7.246,0.867,2.875317,888.3
4.063,1.024,4.124461,1161.5
2.147,1.08,3.21222,1171.7
2.09,1.368,1.212884,1873.6
0.685,1.242,3.35524,1495.0
0.567,1.19,3.652836,1100.1
0.059,0.565,4.234516,907.4
0.62,1.02,3.039577,1102.7
0.626,1.212,3.257215,1262.4
0.778,1.107,5.72318,1149.1
8.74,0.951,5.6334729,1343.6
